"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Bra011106","PF01778","PTHR10544","KOG3412","","K02903","AT4G29410.1","","Ribosomal L28e protein family"
"Bra011108","PF00410","PTHR11758","KOG1754","","","AT4G29430.1","rps15ae","ribosomal protein S15A E"
"Bra011116","PF04718","","","3.6.3.14","K02140","AT4G29480.1","","Mitochondrial ATP synthase subunit G protein"
"Bra011134","PF07649,PF03107,PF05251","PTHR13636","KOG4452","","","AT5G22355.1","","Cysteine/Histidine-rich C1 domain family protein"
"Bra011190","","","","","","AT4G30410.1","","sequence-specific DNA binding transcription factors"
"Bra011232","PF02789,PF00883","PTHR11963","KOG2597","3.4.11.1","K01255","AT4G30920.1","","Cytosol aminopeptidase family protein"
"Bra011250","PF07714,PF00069","PTHR23257","KOG0192","","","AT4G31170.1","","Protein kinase superfamily protein"
"Bra011268","PF03109","PTHR10566","KOG1235","","","AT4G31390.1","","Protein kinase superfamily protein"
"Bra011275","PF00830","PTHR13528","KOG3278","","","AT4G31460.1","","Ribosomal L28 family"
"Bra011292","PF08100,PF00891","PTHR11746","KOG3178","","","AT1G77520.1","","O-methyltransferase family protein"
"Bra011299","PF03106","","","","","AT4G31800.1","ATWRKY18,WRKY18","WRKY DNA-binding protein 18"
"Bra011314","PF00069,PF07714,PF00155","PTHR11879","KOG1411","2.6.1.1","K00813","AT4G31990.1","AAT3,ASP5,ATAAT1","aspartate aminotransferase 5"
"Bra011315","","","","","","AT4G32020.1","",""
"Bra011328","","PTHR23160","","","","AT4G32190.1","","Myosin heavy chain-related protein"
"Bra011404","","PTHR23056","KOG0034","","","AT4G33000.1","ATCBL10,CBL10,SCABP8","calcineurin B-like protein 10"
"Bra011412","PF01433","PTHR11533","KOG1046","3.4.11.-","K08776","AT4G33090.1","APM1,ATAPM1","aminopeptidase M1"
"Bra011449","PF01474","PTHR21337","","","","AT4G33510.1","DHS2","3-deoxy-d-arabino-heptulosonate 7-phosphate synthase"
"Bra011460","","","","","","AT4G33666.1","",""
"Bra011469","","","","","","AT4G33780.1","",""
"Bra011477","PF00253","PTHR12010","KOG3506","","K02980","AT4G33865.1","","Ribosomal protein S14p/S29e family protein"
"Bra011485","PF07716,PF00170","PTHR22952","","","K14432","AT4G34000.1","ABF3,DPBF5","abscisic acid responsive elements-binding factor 3"
"Bra011488","PF00076,PF00658","PTHR10432","KOG0123","","K13126","AT4G34110.1","ATPAB2,PAB2,PABP2","poly(A) binding protein 2"
"Bra011500","PF00168","PTHR10024","KOG1030","","","AT4G34150.1","","Calcium-dependent lipid-binding (CaLB domain) family protein"
"Bra011515","","","","","","AT2G15000.4","",""
"Bra011530","PF08617","PTHR15840","KOG4066","","","AT4G34412.1","",""
"Bra011536","PF00400","PTHR19850","KOG0286","","K04536","AT4G34460.1","AGB1,ATAGB1,ELK4","GTP binding protein beta 1"
"Bra011537","PF00332,PF07983","","","","","AT4G34480.1","","O-Glycosyl hydrolases family 17 protein"
"Bra011538","PF01213,PF08603","PTHR10652","KOG2675","","","AT4G34490.1","ATCAP1,CAP 1,CAP1","cyclase associated protein 1"
"Bra011541","PF05368,PF01370","PTHR10366","","","","AT4G34540.1","","NmrA-like negative transcriptional regulator family protein"
"Bra011546","PF00886","PTHR12919","KOG3419","","K02959","AT4G34620.1","SSR16","small subunit ribosomal protein 16"
"Bra011551","PF01015","PTHR11830","KOG1628","","","AT4G34670.1","","Ribosomal protein S3Ae"
"Bra011565","PF01535","PTHR10483","","","","AT4G34830.1","MRL1","Pentatricopeptide repeat (PPR) superfamily protein"
"Bra011568","PF00160","PTHR11071","KOG0865","","","AT4G34870.1","ATCYP1,ROC5","rotamase cyclophilin 5"
"Bra011584","PF00199,PF06628","PTHR11465","KOG0047","1.11.1.6","K03781","AT4G35090.1","CAT2","catalase 2"
"Bra011590","PF01490","PTHR22950","KOG1303","","","AT4G35180.1","LHT7","LYS/HIS transporter 7"
"Bra011596","PF07714,PF00069","PTHR23258","KOG1187","2.7.11.1","K14500","AT4G35230.1","BSK1","BR-signaling kinase 1"
"Bra011606","","","","","","AT4G35320.1","",""
"Bra011609","PF01937","PTHR12280","KOG4584","","","AT4G35360.1","","Uncharacterised conserved protein (UCP030210)"
"Bra011644","PF01535","PTHR10483","","","","AT4G35850.1","","Pentatricopeptide repeat (PPR) superfamily protein"
"Bra011664","PF00181,PF03947","PTHR13691","KOG2309","","K02938","AT4G36130.1","","Ribosomal protein L2 family"
"Bra011677","PF01301,PF02449,PF02140","PTHR23421","KOG0496","","","AT4G36360.1","BGAL3","beta-galactosidase 3"
"Bra011679","PF00919,PF04055,PF01938","PTHR11918","KOG2492","","","AT4G36390.1","","Methylthiotransferase"
"Bra011703","","","","","","AT4G36750.1","","Quinone reductase family protein"
"Bra011706","PF05687","","","","","AT4G36780.1","BEH2","BES1/BZR1 homolog 2"
"Bra011728","","","","","","AT4G37090.1","",""
"Bra011733","PF00557","PTHR10804","KOG2738","3.4.11.18","K01265","AT4G37040.1","MAP1D","methionine aminopeptidase 1D"
"Bra011736","PF09750","PTHR13161","KOG2548","","K13168","AT4G36980.4","",""
"Bra011770","PF00636","","","","","AT4G37510.1","","Ribonuclease III family protein"
"Bra011786","PF00046,PF02183","PTHR19418","KOG0483","","K09338","AT4G37790.1","HAT22","Homeobox-leucine zipper protein family"
"Bra011819","PF01474","PTHR21337","","2.5.1.54","K01626","AT4G39980.1","DHS1","3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1"
"Bra011822","PF01583","PTHR11055","KOG0635","2.7.1.25","K00860","AT4G39940.1","AKN2,APK2","APS-kinase 2"
"Bra011824","","","","","","AT4G39900.1","",""
"Bra011825","PF00276","","KOG4089","","","AT4G39880.1","","Ribosomal protein L23/L15e family protein"
"Bra011830","PF07994,PF01658","PTHR11510","KOG0693","5.5.1.4","K01858","AT4G39800.1","ATIPS1,ATMIPS1,MI-1-P SYNTHASE,MIPS1","myo-inositol-1-phosphate synthase 1"
"Bra011839","PF00254","PTHR10516","KOG0552","","","AT4G39710.1","FKBP16-2","FK506-binding protein 16-2"
"Bra011871","PF03297","PTHR12850","KOG1767","","K02975","AT4G39200.1","","Ribosomal protein S25 family protein"
"Bra011872","PF00226","PTHR11821","KOG0691","","","AT4G39150.1","","DNAJ heat shock N-terminal domain-containing protein"
"Bra011919","PF00118","PTHR11353","KOG0356","","","AT1G55490.1","CPN60B,LEN1","chaperonin 60 beta"
"Bra011921","PF00117,PF04715,PF00425","PTHR11236","KOG1224","2.6.1.85","K13950","AT2G28880.1","ADCS,emb1997","para-aminobenzoate (PABA) synthase family protein"
"Bra011923","PF00023","PTHR18958","KOG4412","","","AT2G28840.1","XBAT31","XB3 ortholog 1 in Arabidopsis thaliana"
"Bra011967","PF08612","PTHR12465","","","","AT2G28230.1","","TATA-binding related factor (TRF) of subunit 20 of Mediator complex"
"Bra011985","PF00118","PTHR11353","KOG0356","","","AT2G28000.1","CH-CPN60A,CPN60A,SLP","chaperonin-60alpha"
"Bra012005","PF00248","PTHR11732","KOG1575","","","AT2G27680.1","","NAD(P)-linked oxidoreductase superfamily protein"
"Bra012008","","","","","","AT2G27660.1","","Cysteine/Histidine-rich C1 domain family protein"
"Bra012012","PF00687","PTHR23105","KOG1570","","","AT2G27530.1","PGY1","Ribosomal protein L1p/L10e family"
"Bra012038","PF10075,PF01399,PF00249","PTHR10678","KOG1464","","","AT2G26990.1","ATCSN2,COP12,CSN2,FUS12","proteasome family protein"
"Bra012040","PF00288","PTHR20861","","2.7.1.148","K00919","AT2G26930.1","ATCDPMEK,CDPMEK,ISPE,PDE277","4-(cytidine 5\'-phospho)-2-C-methyl-D-erithritol kinase"
"Bra012045","PF08263,PF00560,PF07714,PF00069","PTHR23258","KOG1187","","","AT2G26730.1","","Leucine-rich repeat protein kinase family protein"
"Bra012052","PF00854","PTHR11654","KOG1237","","","AT2G26690.1","","Major facilitator superfamily protein"
"Bra012054","PF01126","","KOG4480","","","AT2G26670.1","ATHO1,GUN2,HO1,HY1,HY6,TED4","Plant haem oxygenase (decyclizing) family protein"
"Bra012074","PF00150,PF01535","PTHR10483","","","","AT3G47840.1","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra012127","PF01494,PF00498","PTHR13789","KOG2614","1.14.13.90","K09838","AT5G67030.1","ABA1,ATABA1,ATZEP,IBS3,LOS6,NPQ2,ZEP","zeaxanthin epoxidase (ZEP) (ABA1)"
"Bra012144","PF01207,PF00977","PTHR11082","KOG2335","1.-.-.-","K05545","AT5G67220.1","","FMN-linked oxidoreductases superfamily protein"
"Bra012152","PF00067","PTHR19383","KOG0156","","","AT5G67310.1","CYP81G1","cytochrome P450, family 81, subfamily G, polypeptide 1"
"Bra012153","PF00450","PTHR11802","KOG1282","","","AT2G23000.1","scpl10","serine carboxypeptidase-like 10"
"Bra012154","PF01566","PTHR11706","KOG1291","","","AT5G67330.1","ATNRAMP4,NRAMP4","natural resistance associated macrophage protein 4"
"Bra012158","PF00651,PF03000","","","","","AT5G67385.1","","Phototropic-responsive NPH3 family protein"
"Bra012176","PF00083,PF07690","PTHR11600","KOG0254","","","AT2G48020.1","","Major facilitator superfamily protein"
"Bra012203","PF00970,PF00175","PTHR19384","","1.18.1.2","K02641","AT1G20020.1","ATLFNR2,FNR2","ferredoxin-NADP(+)-oxidoreductase 2"
"Bra012230","PF00257","","","","","AT1G20450.1","ERD10,LTI29,LTI45","Dehydrin family protein"
"Bra012244","PF00505","PTHR13711","","","","AT1G20696.2","HMGB3,NFD03,NFD3","high mobility group B3"
"Bra012303","PF01399","PTHR15350","KOG3250","","K12180","AT1G02090.1","ATCSN7,COP15,CSN7,FUS5","Proteasome component (PCI) domain protein"
"Bra012327","PF08240,PF00107,PF02297","PTHR11695","KOG0022","","","AT1G22430.1","","GroES-like zinc-binding dehydrogenase family protein"
"Bra012339","PF07719,PF00515","PTHR23083","","","","AT1G22700.2","","Tetratricopeptide repeat (TPR)-like superfamily protein"
"Bra012364","PF00407,PF10604","","","","","AT1G23130.1","","Polyketide cyclase/dehydrase and lipid transport superfamily protein"
"Bra012371","PF00155","PTHR11751","KOG0258","","","AT1G23310.1","AOAT1,GGAT1,GGT1","glutamate:glyoxylate aminotransferase"
"Bra012417","PF01501","","","","","AT1G24170.1","GATL8,LGT9","Nucleotide-diphospho-sugar transferases superfamily protein"
"Bra012462","PF00118","PTHR11353","KOG0356","","","AT1G26230.1","","TCP-1/cpn60 chaperonin family protein"
"Bra012475","PF00643,PF06203","","KOG1601","","","AT1G25440.1","","B-box type zinc finger protein with CCT domain"
"Bra012616","PF01655","PTHR23413","KOG0878","","K02912","AT4G18100.1","","Ribosomal protein L32e"
"Bra012644","PF00595,PF03572","PTHR22939:SF10","","","","AT4G17740.1","","Peptidase S41 family protein"
"Bra012651","PF04570","","","","","AT4G17670.1","","Protein of unknown function (DUF581)"
"Bra012676","PF01373","","","3.2.1.2","K01177","AT4G17090.1","BAM3,BMY8,CT-BMY","chloroplast beta-amylase"
"Bra012696","PF00012","PTHR19375","KOG0104","","K09486","AT4G16660.1","","heat shock protein 70 (Hsp 70) family protein"
"Bra012710","PF02991,PF04110","PTHR10969","KOG1654","","K08341","AT4G16520.1","ATG8F","Ubiquitin-like superfamily protein"
"Bra012724","","PTHR22814","","","","AT4G16380.1","","Heavy metal transport/detoxification superfamily protein"
"Bra012735","","","","","","AT3G17100.1","","sequence-specific DNA binding transcription factors"
"Bra012747","PF00561","PTHR10992","KOG4178","","","AT4G15960.1","","alpha/beta-Hydrolases superfamily protein"
"Bra012753","PF00400","PTHR19923","KOG0285","","K12862","AT4G15900.1","PRL1","pleiotropic regulatory locus 1"
"Bra012779","PF00676,PF02779,PF02780","PTHR11624","KOG0523","2.2.1.7","K01662","AT4G15560.1","CLA,CLA1,DEF,DXPS2,DXS","Deoxyxylulose-5-phosphate synthase"
"Bra012781","PF01326,PF00391,PF02896","PTHR22931","","2.7.9.1","K01006","AT4G15530.2","PPDK","pyruvate orthophosphate dikinase"
"Bra012784","PF00201","PTHR11926","KOG1192","","","AT4G15480.1","UGT84A1","UDP-Glycosyltransferase superfamily protein"
"Bra012805","PF01764","","","","","AT3G52430.1","ATPAD4,PAD4","alpha/beta-Hydrolases superfamily protein"
"Bra012807","PF00076","PTHR10432","KOG0131","","","AT3G52380.1","CP33,PDE322","chloroplast RNA-binding protein 33"
"Bra012809","PF05873","PTHR12700","KOG3366","3.6.3.14","K02138","AT3G52300.1","ATPQ","ATP synthase D chain, mitochondrial"
"Bra012812","PF02536","PTHR13068","KOG1267","","","AT4G38160.1","pde191","Mitochondrial transcription termination factor family protein"
"Bra012840","PF05184,PF03489","PTHR11480","KOG1340","","","AT3G51730.1","","saposin B domain-containing protein"
"Bra012871","PF00320","PTHR22949:SF2","KOG1601","","","AT3G51050.1","","FG-GAP repeat-containing protein"
"Bra012899","","PTHR10992","KOG1454","","","AT3G50440.1","ATMES10,MES10","methyl esterase 10"
"Bra012916","PF00467","PTHR11143","KOG3401","","K02898","AT3G49910.1","","Translation protein SH3-like family protein"
"Bra013012","PF00501","PTHR11968","KOG1175","","","AT5G23050.1","AAE17","acyl-activating enzyme 17"
"Bra013013","PF00581","","","","","AT5G23060.1","CaS","calcium sensing receptor"
"Bra013046","PF00012,PF06723","PTHR19375","KOG0100","","","AT5G02500.1","AT-HSC70-1,HSC70,HSC70-1,HSP70-1","heat shock cognate protein 70-1"
"Bra013049","PF00179","PTHR11621","KOG0417","","","AT2G16740.1","UBC29","ubiquitin-conjugating enzyme 29"
"Bra013053","PF00141","","","","","AT4G35000.1","APX3","ascorbate peroxidase 3"
"Bra013069","PF00149","PTHR22953","KOG1378","","","AT2G16430.2","ATPAP10,PAP10","purple acid phosphatase 10"
"Bra013087","PF05562","","","","","AT2G15970.1","ATCOR413-PM1,ATCYP19,COR413-PM1,FL3-5A3,WCOR413,WCOR413-LIKE","cold regulated 413 plasma membrane 1"
"Bra013132","","PTHR13168","","","","AT2G14045.1","",""
"Bra013152","PF00450","PTHR11802","KOG1282","","","AT5G42240.1","scpl42","serine carboxypeptidase-like 42"
"Bra013155","","","","","","AT2G11910.1","",""
"Bra013156","PF01928","","","","","AT2G11890.1","","adenylate cyclases"
"Bra013161","PF00724","PTHR22893","KOG0134","1.3.1.42","K05894","AT2G06050.1","DDE1,OPR3","oxophytodienoate-reductase 3"
"Bra013164","PF00722,PF06955","","","2.4.1.207","K08235","AT2G06850.1","EXGT-A1,EXT,XTH4","xyloglucan endotransglucosylase/hydrolase 4"
"Bra013171","PF00892","PTHR22911","KOG4510","","","AT2G05755.1","","Nodulin MtN21 /EamA-like transporter family protein"
"Bra013215","PF00861","PTHR23410","KOG0875","","K02932","AT3G25520.1","ATL5,OLI5,PGY3,RPL5A","ribosomal protein L5"
"Bra013218","","PTHR11177:SF3","","","","AT3G25480.1","","Rhodanese/Cell cycle control phosphatase superfamily protein"
"Bra013225","PF00254","PTHR10516","KOG0549","5.2.1.8","K09569","AT3G25220.1","FKBP15-1","FK506-binding protein 15 kD-1"
"Bra013239","PF00572","PTHR11545","KOG3204","","","AT3G24830.1","","Ribosomal protein L13 family protein"
"Bra013284","PF01655","PTHR23413","KOG0878","","K02912","AT4G18100.1","","Ribosomal protein L32e"
"Bra013303","","","","","","AT4G18380.1","","F-box family protein"
"Bra013342","PF00281,PF00673","PTHR11994","KOG0397","","","AT4G18730.1","RPL16B","ribosomal protein L16B"
"Bra013371","PF01852,PF07059","PTHR12659","KOG2761","","","AT4G19040.1","EDR2","ENHANCED DISEASE RESISTANCE 2"
"Bra013378","PF03055","PTHR10543","KOG1285","","","AT4G19170.1","CCD4,NCED4","nine-cis-epoxycarotenoid dioxygenase 4"
"Bra013430","PF07819,PF02450,PF00561,PF05057","PTHR11440","KOG2369","","","AT4G19860.1","","alpha/beta-Hydrolases superfamily protein"
"Bra013436","PF00583","PTHR13355","","","","AT4G19985.1","","Acyl-CoA N-acyltransferases (NAT) superfamily protein"
"Bra013445","PF02225","PTHR22765","KOG3920","","","AT4G20110.1","BP80-3;1,VSR3;1,VSR7","VACUOLAR SORTING RECEPTOR 7"
"Bra013450","PF05558","PTHR22683","","","","AT4G20260.1","ATPCAP1,PCAP1","plasma-membrane associated cation-binding protein 1"
"Bra013462","","PTHR13768","KOG1585","","","AT4G20410.1","GAMMA-SNAP,GSNAP","gamma-soluble NSF attachment protein"
"Bra013476","PF01565,PF08031","","","","","AT4G20830.1","","FAD-binding Berberine family protein"
"Bra013507","PF05817","PTHR12640","KOG2447","","","AT4G21150.1","HAP6","ribophorin II (RPN2) family protein"
"Bra013517","PF05757","","","","K08901","AT4G21280.1","PSBQ,PSBQ-1,PSBQA","photosystem II subunit QA"
"Bra013536","PF03997","PTHR12937","KOG3284","","K12184","AT4G05000.1","VPS28-1,VPS28-2","Vacuolar protein sorting-associated protein VPS28 family protein"
"Bra013540","PF08240,PF00107","PTHR11695","KOG1198","","","AT4G21580.1","","oxidoreductase, zinc-binding dehydrogenase family protein"
"Bra013558","PF00849","PTHR10436","KOG1919","","","AT4G21770.1","","Pseudouridine synthase family protein"
"Bra013563","PF04511","PTHR11009","KOG0858","","","AT4G21810.1","DER2.1","DERLIN-2.1"
"Bra013576","PF00141","","","1.11.1.7","K00430","AT4G21960.1","PRXR1","Peroxidase superfamily protein"
"Bra013582","PF07732,PF00394,PF07731","PTHR11709","KOG1263","","","AT4G22010.1","sks4","SKU5  similar 4"
"Bra013601","PF01592","PTHR10093","KOG3361","","","AT4G22220.1","ATISU1,ISU1","SufE/NifU family protein"
"Bra013602","PF04755","","","","","AT4G22240.1","","Plastid-lipid associated protein PAP / fibrillin family protein"
"Bra013643","PF04116","PTHR11863","KOG0873","1.14.13.72","K14423","AT4G22756.1","ATSMO1,ATSMO1-2,SMO1,SMO1-2","sterol C4-methyl oxidase 1-2"
"Bra013653","","","","","","AT4G22890.1","PGR5-LIKE A","PGR5-LIKE A"
"Bra013674","PF00314","","","","","AT4G11650.1","ATOSM34,OSM34","osmotin 34"
"Bra013675","PF04107","","","6.3.2.2","K01919","AT4G23100.1","ATECS1,CAD2,GSH1,GSHA,PAD2,RML1","glutamate-cysteine ligase"
"Bra013690","PF00106,PF08659,PF01370","PTHR19410","KOG1208","","","AT4G23430.2","","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra013693","PF04749","","","","","AT4G23470.1","","PLAC8 family protein"
"Bra013719","PF00069,PF07714,PF00036","PTHR22982","KOG0032","2.7.11.1","K13412","AT4G23650.1","CDPK6,CPK3","calcium-dependent protein kinase 6"
"Bra013747","PF07728,PF05496,PF00004,PF01434,PF07738","PTHR23076","KOG0731","","","AT4G23940.1","","FtsH extracellular protease family"
"Bra013761","","","","","","AT4G24090.1","",""
"Bra013774","PF02518,PF00183","PTHR11528","KOG0020","","","AT4G24190.1","AtHsp90-7,AtHsp90.7,HSP90.7,SHD","Chaperone protein htpG family protein"
"Bra013777","PF01370","","","","","AT4G24220.1","AWI31,VEP1","NAD(P)-binding Rossmann-fold superfamily protein"
"Bra013804","PF08627","","","","","AT4G24460.1","CLT2","CRT (chloroquine-resistance transporter)-like transporter 2"
"Bra013805","PF06200,PF06203,PF00320","PTHR22949:SF3","","","","AT4G24470.1","GATA25,TIFY1,ZIM","GATA-type zinc finger protein with TIFY domain"
"Bra013826","","","","","","AT4G24700.1","",""
"Bra013832","PF00076","PTHR10432","KOG0131","","","AT4G24770.1","ATRBP31,ATRBP33,CP31,RBP31","31-kDa RNA binding protein"
"Bra013853","","","","","","AT4G24990.1","ATGP4","Ubiquitin family protein"
"Bra013859","PF00550","PTHR20863","KOG1748","","","AT4G25050.1","ACP4","acyl carrier protein 4"
"Bra013863","PF00081,PF02777","PTHR11404","KOG0876","","","AT4G25100.1","ATFSD1,FSD1","Fe superoxide dismutase 1"
"Bra013869","","","","","","AT4G25170.1","","Uncharacterised conserved protein (UCP012943)"
"Bra013870","PF00320","PTHR22949:SF2","KOG1601","","","AT5G66320.1","GATA5","GATA transcription factor 5"
"Bra013904","","","","","","AT4G25620.1","","hydroxyproline-rich glycoprotein family protein"
"Bra013906","PF01554","PTHR11206","KOG1347","","","AT4G25640.1","ATDTX35,DTX35,FFT","detoxifying efflux carrier 35"
"Bra013907","PF00355,PF08417","PTHR21266","","","","AT4G25650.1","ACD1-LIKE,PTC52,TIC55-IV","ACD1-like"
"Bra013912","PF04116","","","1.14.13.-","K02294","AT4G25700.1","B1,BCH1,BETA-OHASE 1,chy1","beta-hydroxylase 1"
"Bra013915","PF03501","PTHR12146","KOG3344","","K02947","AT4G25740.1","","RNA binding Plectin/S10 domain-containing protein"
"Bra013924","PF04535","PTHR11615","","","","AT4G25830.1","","Uncharacterised protein family (UPF0497)"
"Bra013931","PF01263","PTHR11122","KOG1594","","","AT4G25900.1","","Galactose mutarotase-like superfamily protein"
"Bra013949","PF00069,PF07714","PTHR11909","KOG1163","2.7.11.1","K02218","AT4G26100.1","CK1,CKL1","casein kinase 1"
"Bra013950","PF00651,PF11900,PF12313","PTHR18958","KOG4214","","","AT1G64280.1","ATNPR1,NIM1,NPR1,SAI1","regulatory protein (NPR1)"
"Bra013957","PF01554","PTHR11206","KOG1347","","","AT5G17700.1","","MATE efflux family protein"
"Bra013977","PF03194","PTHR12375","KOG0796","","","AT5G17440.1","","LUC7 related protein"
"Bra014037","PF00085,PF00578","PTHR10438","KOG0907","","","AT1G45145.1","ATH5,ATTRX5,LIV1,TRX5","thioredoxin H-type 5"
"Bra014042","PF00069,PF07714","PTHR22985","KOG0606","","","AT1G45160.2","","Protein kinase superfamily protein"
"Bra014044","PF01764","","KOG4569","","","AT1G45201.1","ATTLL1,TLL1","triacylglycerol lipase-like 1"
"Bra014046","PF11523","","","","","AT1G45230.1","","Protein of unknown function (DUF3223)"
"Bra014081","","PTHR10483","","","","AT1G47580.1","","Pentatricopeptide repeat (PPR) superfamily protein"
"Bra014131","PF00861","","","","K02881","AT1G48350.1","","Ribosomal L18p/L5e family protein"
"Bra014184","PF05140","","","","K07399","AT1G49380.1","","cytochrome c biogenesis protein family"
"Bra014195","","","","","","AT1G49500.1","",""
"Bra014209","","","","","","AT1G49740.1","","PLC-like phosphodiesterases superfamily protein"
"Bra014229","PF00574","PTHR10381","KOG0840","","","AT1G49970.1","CLPR1,NCLPP5,SVR2","CLP protease proteolytic subunit 1"
"Bra014233","","","","","","AT1G50020.1","",""
"Bra014238","PF08737","","","","","AT1G50120.1","",""
"Bra014252","PF01222","PTHR21257","KOG1435","1.3.1.21","K00213","AT1G50430.1","7RED,DWF5,LE,PA,ST7R","Ergosterol biosynthesis ERG4/ERG24 family"
"Bra014283","","PTHR22814:SF13","","","","AT1G51090.1","","Heavy metal transport/detoxification superfamily protein"
"Bra014291","PF01532","PTHR11742","KOG2204","3.2.1.113","K01230","AT1G51590.1","MANIB,MNS1","alpha-mannosidase 1"
"Bra014298","PF00240,PF00443","PTHR10420","KOG1872","3.1.2.15","K11843","AT1G51710.1","ATUBP6,UBP6","ubiquitin-specific protease 6"
"Bra014326","PF03215,PF00005,PF01061","PTHR19241","KOG0061","","","AT2G01320.1","","ABC-2 type transporter family protein"
"Bra014340","PF00274","PTHR11627","KOG1557","4.1.2.13","K01623","AT2G01140.1","","Aldolase superfamily protein"
"Bra014351","PF03874","PTHR21297","KOG2351","","","AT4G15950.1","NRPD4,NRPE4,RDM2","RNA polymerase II, Rpb4, core protein"
"Bra014361","","","","","","AT1G55160.1","",""
"Bra014387","PF01248","PTHR23105","KOG3166","","","AT3G62870.1","","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein"
"Bra014389","PF01423","PTHR12777","KOG3459","","K11096","AT3G62840.1","","Small nuclear ribonucleoprotein family protein"
"Bra014403","PF00025,PF09439,PF04670,PF08477,PF00071,PF00503","PTHR11711","KOG0070","","K07977","AT3G62290.1","ARFA1E,ATARFA1E","ADP-ribosylation factor A1E"
"Bra014405","PF00481","PTHR13832","KOG0698","","","AT3G62260.2","","Protein phosphatase 2C family protein"
"Bra014414","PF00160","PTHR11071","KOG0880","","","AT3G62030.1","ROC4","rotamase CYP 4"
"Bra014417","PF00046,PF02183","PTHR19418","KOG0483","","K09338","AT3G61890.1","ATHB-12,ATHB12,HB-12","homeobox 12"
"Bra014436","PF00291","PTHR10314","KOG1252","2.5.1.47,4.4.1.9","K13034","AT3G61440.1","ARATH;BSAS3;1,ATCYSC1,CYSC1","cysteine synthase C1"
"Bra014493","PF00254","PTHR10516","KOG0552","","","AT3G60370.1","","FKBP-like peptidyl-prolyl cis-trans isomerase family protein"
"Bra014497","PF04783,PF04782","PTHR21450","","","","AT3G60320.1","","Protein of unknown function (DUF630 and DUF632)"
"Bra014503","PF01780","PTHR11517","KOG0402","","K02921","AT3G60245.1","","Zinc-binding ribosomal protein family protein"
"Bra014504","PF06217","","","","","AT5G42520.1","ATBPC6,BBR/BPC6,BPC6","basic pentacysteine 6"
"Bra014529","PF00291","PTHR10314","KOG1252","2.5.1.47","K01738","AT3G59760.3","ATCS-C,OASC","O-acetylserine (thiol) lyase isoform C"
"Bra014550","PF01095","","","","","AT3G59010.1","PME61","pectin methylesterase 61"
"Bra014558","PF00281,PF00673","PTHR11994","KOG0397","","","AT2G42740.1","RPL16A","ribosomal protein large subunit 16A"
"Bra014562","PF07991,PF01450","PTHR21371","","1.1.1.86","K00053","AT3G58610.1","","ketol-acid reductoisomerase"
"Bra014569","PF00149","PTHR11668","KOG0371","3.1.3.16","K04382","AT3G58500.1","PP2A-4","protein phosphatase 2A-4"
"Bra014600","PF07986","PTHR16052","KOG4416","","","AT3G57890.2","","Tubulin binding cofactor C domain-containing protein"
"Bra014622","PF00675,PF05193","PTHR11851","KOG0959","3.4.24.56","K01408","AT2G41790.1","","Insulinase (Peptidase family M16) family protein"
"Bra014633","PF09440,PF01399","PTHR10317","KOG2758","","K03250","AT3G57290.1","ATEIF3E-1,ATINT6,EIF3E,INT-6,INT6,TIF3E1","eukaryotic translation initiation factor 3E"
"Bra014648","PF01053,PF00155,PF00266","PTHR11808","KOG0053","4.4.1.8","K01760","AT3G57050.1","CBL","cystathionine beta-lyase"
"Bra014663","","","","","","AT3G56910.1","PSRP5","plastid-specific 50S ribosomal protein 5"
"Bra014671","PF00036,PF08726,PF10591","PTHR23050","KOG0027","","K02183","AT2G27030.3","ACAM-2,CAM5","calmodulin 5"
"Bra014689","PF11969,PF01230","PTHR23089","KOG3275","","","AT3G56490.1","HINT1,HIT3","HIS triad family protein 3"
"Bra014692","PF03106","","","","","AT3G56400.1","ATWRKY70,WRKY70","WRKY DNA-binding protein 70"
"Bra014696","","","","","","AT3G56360.1","",""
"Bra014722","PF01490","PTHR22950","KOG1303","","","AT3G55740.1","ATPROT2,PROT2","proline transporter 2"
"Bra014730","","","","","","AT3G55646.1","",""
"Bra014755","PF01789","","","","K02717","AT3G55330.1","PPL1","PsbP-like protein 1"
"Bra014766","","","","","","AT3G55250.1","",""
"Bra014808","PF00125","PTHR23430","KOG1757","","K11251","AT3G54560.1","HTA11","histone H2A 11"
"Bra014819","PF00026","PTHR13683","KOG1339","","","AT3G54400.1","","Eukaryotic aspartyl protease family protein"
"Bra014842","PF06521","","","","","AT3G54040.1","","PAR1 protein"
"Bra014853","PF00234","","","","","AT3G53980.1","","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"
"Bra014865","PF00022","PTHR11937","KOG0676","","K10355","AT3G53750.1","ACT3","actin 3"
"Bra014870","PF01154,PF08540","PTHR11877","KOG1393","2.3.3.10","K01641","AT4G11820.2","EMB2778,FKP1,HMGS,MVA1","hydroxymethylglutaryl-CoA synthase / HMG-CoA synthase / 3-hydroxy-3-methylglutaryl coenzyme A synthase"
